,store,sido,gugun,address
111,평택험프리스점,경기도,평택시,"경기도 평택시 팽성읍 안정쇼핑로 52,101호"
112,구리수택점,경기도,구리시,경기도 구리시 경춘로 200
113,대구태평메가타워점,대구,중구,"대구광역시 중구 태평로 114(태평로3가, 메가타워)"
114,화성시청점,경기도,화성시,경기도 화성시 남양읍 역골로 9-4
115,광주하남점,광주,광산구,광주광역시 광산구 단전둘레길 18
116,대전학하점,대전,유성구,"대전광역시 유성구 학하로 98 (학하동, 1층)"
117,포항시청점,경상북도,포항시,경상북도 포항시 남구 대이로 39
118,나주빛가람종합병원점,전라남도,나주시,전라남도 나주시 빛가람동 266-4
119,대구화원DI점,대구,달성군,대구광역시 달성군 화원읍 사문진로 422
120,안산고잔점,경기도,안산시,경기도 안산시 단원구 고잔동 771-1 창진타운 130호
121,부산강서점,부산,강서구,부산광역시 강서구 체육공원로6번길 184
122,청주용평로점,충청북도,청주시,충청북도 청주시 서원구 분평동 621-4번지 1층
123,까치산역점,서울,강서구,서울시 강서구 곰달래로 134
124,평택소사벌점,경기도,평택시,경기도 평택시 비전5로 10 평택 가로수길 센트럴돔 1층
125,제주영어교육도시점,제주도,서귀포시,"제주도 서귀포시 대정읍 에듀시티로239번길 8, 131,132호"
126,대전시청점,대전,서구,"대전광역시 서구 둔산남로 103,1층(둔산동)"
127,대구중앙로점,대구,중구,대구광역시 중구 중앙대로 421
128,수원호매실점,경기도,수원시,"경기도 수원시 권선구 금곡로 201, 1층"
